Name,Building,Type,address,Location,Google map link,Phone number,Day of the week,Open/Close,Start time,End time,Dine-in,Takeout,Delivery,Rating,Reviews,Menu ( photo),Menu (list),Number of items,Name of Food,Price,Inside,Website
,,,,,,,,,,,,,,,,,,,Balanced Southwestern,23.39,"Grilled mahi mahi baja fish tacos, Grilled chicken skewers with soft corn tortillas, Black bean and corn salad, Mexican red rice, Guacamole, Salsa, Baked corn tortilla chips",
,,,,,,,,,,,,,,,,,,,Traditional Asian Buffet,19.29,"Orange ginger chicken, Beef with broccoli, Ginger vegetable fried rice, Traditional egg rolls, Sesame broccoli",
,,,,,,,,,,,,,,,,,Hors d`Oeuvres,15,Cheese Display,6.59,"Cheese display served with artisan bread, crackers, and fresh fruit garnish",
,,,,,,,,,,,,,,,,,,,Crudité Display,4.59,Seasonal vegetables served with ranch dipping sauce,
,,,,,,,,,,,,,,,,,,,Seasonal Fresh Fruit Display,4.39,Seasonal fruit and berries,
,,,,,,,,,,,,,,,,,,,Italian Antipasti Display,8.39,"Prosciutto and salami, fresh mozzarella and shaved parmesan, pepperoncini, roasted red peppers, marinated artichokes, eggplant caponata, marinated olives extra virgin olive oil and balsamic vinegar served with flatbreads and crostini",
,,,,,,,,,,,,,,,,,,,Mediterranean Market Display,8.99,"Cumin marinated chicken skewers, roast eggplant, roasted peppers, hummus, marinated olives, feta cheese, parmesan cheese, rocket arugula served with flatbreads and crostini",
,,,,,,,,,,,,,,,,,,,Roasted Round of Beef,8.89,"Roasted round of beef, Turkey gravy, Horseradish aioli, Mushroom gravy, Dinner rolls, Whipped butter",
,,,,,,,,,,,,,,,,,,,Prime Rib of Beef,11.39,"Prime rib of beef, Turkey gravy, Horseradish aioli, Mushroom gravy, Dinner rolls, Whipped butter",
,,,,,,,,,,,,,,,,,,,Roasted Pork Loin,8.69,"Roasted pork loin, Turkey gravy, Mushroom gravy, Dinner rolls, Whipped butter",
,,,,,,,,,,,,,,,,,,,Tenderloin of Beef,10.19,"Tenderloin of beef, Turkey gravy, Mushroom gravy, Dinner rolls, Whipped butter",
,,,,,,,,,,,,,,,,,,,Boneless Virginia Ham,9.19,"Boneless virginia ham, Turkey gravy, Mushroom gravy, Dinner rolls, Whipped butter",
,,,,,,,,,,,,,,,,,,,Herb-Roasted Breast of Turkey,8.49,"Herb-roasted breast of turkey, Turkey gravy, Mushroom gravy, Dinner rolls, Whipped butter",
,,,,,,,,,,,,,,,,,,,Pasta Station,13.89,"Italian sausage, Marinara Sauce, Alfredo sauce, Spinach, Broccoli, Onions, Tomatoes, Parmesan cheese, Fettuccini",
,,,,,,,,,,,,,,,,,,,Fondue Station,11.69,"Chocolate fondue, Caramel sauce, Strawberries, Pineapple, Pound cake, Shortbread cookies, Brownie bites, Pretzel rods, Marshmallows",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Dessert Stations,3,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Seated Dinners,1,,,,
,,,,,,,,,,,,,,,,,Custom Menu Request,1,,,,
,,,,,,,,,,,,,,,,,Additional Services (hidden),4,,,,
